p0, p1, v0, v1
285.827, 109.409, -3.816, -14.675
143.868, -127.844, -7.211, 21.290
-148.707, -326.977, 9.375, 4.490
468.281, 343.518, -1.896, -11.388
-479.934, 25.697, 1.767, 24.027
-431.748, 182.719, -11.647, -5.303
-422.771, 494.104, 6.424, -0.470
-246.993, 348.912, 4.903, -3.022
486.154, 21.702, -5.255, 10.346
-228.329, 425.051, 25.694, -10.464
-52.063, 465.275, -11.250, -2.504
-426.973, -377.737, 1.842, 2.100
354.326, -49.595, 14.901, 7.524
-489.980, 196.559, -26.924, -5.054
-41.797, -103.347, -7.803, 10.228
-511.990, 492.723, 0.009, -6.057
-296.675, 153.325, 12.766, -5.583
197.695, -18.024, -5.022, -3.894
-47.598, 29.047, 7.812, -7.631
-206.211, 245.446, 14.301, 2.397
387.446, 159.940, -9.170, -6.150
-352.038, 502.891, -13.884, -0.068
-451.894, 86.387, 3.496, -7.163
252.951, -301.000, -6.722, -17.292
-385.606, -455.642, -2.472, 13.678
445.579, 105.844, -2.623, 10.265
-507.593, 195.012, -1.072, -7.720
-150.835, -461.529, 6.657, -24.680
507.769, -390.085, -0.459, 1.648
-485.056, -180.243, 0.136, 21.064
-417.208, -187.697, -19.753, -11.201
403.727, -511.803, -6.767, 0.018
76.042, -487.846, 13.881, 11.444
-165.807, 472.710, 7.254, 27.921
-497.581, -239.983, 0.309, 29.690
427.909, 243.402, -6.128, 22.011
-403.152, -10.017, 1.572, 8.246
76.684, -97.987, 9.280, -23.157
-493.951, 477.732, 5.567, -0.657
364.329, 511.928, -2.950, -0.002
93.647, 153.608, 11.616, -8.559
73.539, -252.470, -20.783, 16.075
501.379, -476.998, 6.572, 2.142
-505.407, 499.641, -37.669, -0.487
-484.671, 445.996, -15.955, -1.638
511.832, -219.328, -0.003, -19.059
273.495, 478.160, 1.038, 23.989
489.304, -72.187, -2.019, 25.775
-421.593, -393.248, 1.995, 2.070
-287.884, 322.050, 12.950, -8.169
